Freq.	V(vout)
1.17760597352080e-001	(2.84008749326984e+000dB,-3.95618532641309e-002°)
1.18032063565172e-001	(2.84008748759595e+000dB,-3.96530530477386e-002°)
1.18304155572516e-001	(2.84008748189589e+000dB,-3.97444630705911e-002°)
1.18576874816716e-001	(2.84008747616951e+000dB,-3.98360838173541e-002°)
1.18850222743701e-001	(2.84008747041670e+000dB,-3.99279157738103e-002°)
1.19124200802737e-001	(2.84008746463733e+000dB,-4.00199594268635e-002°)
1.19398810446427e-001	(2.84008745883128e+000dB,-4.01122152645389e-002°)
1.19674053130724e-001	(2.84008745299844e+000dB,-4.02046837759869e-002°)
1.19949930314937e-001	(2.84008744713868e+000dB,-4.02973654514848e-002°)
1.20226443461741e-001	(2.84008744125186e+000dB,-4.03902607824426e-002°)
